FID	Shape	GaugeLID	Status	Location	Latitude	Longitude	Waterbody	State	Observed	ObsTime	Units	Action	Flood	Moderate	Major	LowThresh	LowThreshU	WFO	HDatum	PEDTS	SecValue	SecUnit	URL
36	Point	ACRT2	no_flooding	Austin	30.246111	-97.68	Colorado River (TX)	TX	11.33	7/8/2016 16:00	ft	25	33	38	42	 	ft	ewx	NAD83/WGS84	HGIRZ	0.19	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=acrt2
37	Point	ACRV2	no_flooding	Alexandria	38.806389	-77.11	Cameron Run	VA	1.27	7/8/2016 15:35	ft	6	9.5	11	13	 	ft	lwx	NAD83/WGS84	HGIRG	0	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=acrv2
38	Point	ACSC1	not_defined	Sunol	37.5775	-121.856667	San Antonio Creek	CA	2.18	7/8/2016 16:00	ft	 	 	 	 	 	ft	mtr	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=acsc1
39	Point	ACSF1	no_flooding	Starke	29.936944	-82.115278	Alligator Creek	FL	136.19	7/8/2016 15:00	ft	138	140	142	144	 	ft	jax	NAD83/WGS84	HGIRP	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=acsf1
40	Point	ACST1	no_flooding	Ashland City	36.32	-87.051111	Sycamore Creek	TN	4.08	7/8/2016 15:30	ft	10	14	17	20	 	ft	ohx	NAD83/WGS84	HGIRG	0.49	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ohx&gage=acst1
41	Point	ACTI3	no_flooding	Acton	39.656944	-85.9575	Buck Creek (IN)	IN	2.24	7/8/2016 16:00	ft	7	9	14	18	2.2	cfs	ind	NAD83/WGS84	HGIRG	0.05	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=acti3
42	Point	ACTT2	not_defined	Waco Lake	31.579444	-97.1975	North Texas Lakes	TX	465.9	7/8/2016 16:15	ft	 	 	 	 	 	ft	fwd	NAD27	HPIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=actt2
43	Point	ACWS1	not_defined	Conway	33.850833	-78.897222	Waccamaw River	SC	0.92	7/8/2016 15:30	ft	 	 	 	 	 	ft	ilm	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ilm&gage=acws1
44	Point	ACYG1	no_flooding	Covington	33.64	-83.779167	Alcovy River	GA	2.71	7/8/2016 16:00	ft	9	12	16	20	 	ft	ffc	NAD83/WGS84	HGIRG	0.09	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=acyg1
45	Point	ACYN4	no_flooding	Atlantic City (ocean front)	39.35	-74.416667	New Jersey Atlantic Coast	NJ	4.42	7/8/2016 15:54	ft	5.5	6	7	8	-2	ft	phi	NAD83/WGS84	HMIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=acyn4
46	Point	ACZC1	not_defined	Calaveras Creek near Sunol	37.503611	-121.823611	Alameda Creek	CA	4.31	7/8/2016 16:00	ft	 	 	 	 	 	ft	mtr	NAD83/WGS84	HGIRG	0	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=aczc1
47	Point	ADAK1	no_flooding	Ada	39.139167	-97.836667	Salt Creek (KS)	KS	4.38	7/8/2016 15:45	ft	13	18	19	24	 	ft	top	NAD83/WGS84	HGIRG	0.02	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=top&gage=adak1
48	Point	ADAM4	no_flooding	Ada	42.956944	-85.4775	Grand River	MI	6.7	7/8/2016 15:00	ft	17	20	22	25	 	ft	grr	NAD83/WGS84	HGIRP	1.53	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=grr&gage=adam4
49	Point	ADDM8	not_defined	Diversion Dam near Augusta	47.619444	-112.691111	Sun River	MT	0.31	7/8/2016 16:15	ft	 	 	 	 	 	ft	tfx	NAD83/WGS84	HGIRG	0.12	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=addm8
50	Point	ADEV2	no_flooding	Aden	38.61508	-77.55342	Cedar Run	VA	0.93	7/8/2016 15:00	ft	9	13	15	20	 	ft	lwx	NAD83/WGS84	HGIRZ	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=adev2
51	Point	ADLC1	no_flooding	Verona	37.626667	-121.881944	Arroyo de la Laguna	CA	0.82	7/8/2016 15:30	ft	15	15	17	 	 	ft	mtr	NAD83/WGS84	HGIRG	0.01	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=adlc1
52	Point	ADLC2	no_flooding	Avondale	38.248056	-104.398611	Arkansas River	CO	5.2	7/8/2016 16:15	ft	6	7	8	9	 	ft	pub	NAD27	HGIRG	3.24	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pub&gage=adlc2
53	Point	ADLG1	no_flooding	Adel (SR 37)	31.155	-83.543611	Little River (SW Georgia)	GA	175.45	7/8/2016 16:00	ft	187	189	193	195	 	ft	tae	NAD83/WGS84	HGIRG	0	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=adlg1
54	Point	ADMI3	no_flooding	Logansport (Adamsboro)	40.781944	-86.263889	Eel River (IN)	IN	3.25	7/8/2016 15:45	ft	7	9	11	12.4	 	ft	iwx	NAD83/WGS84	HGIRG	0.3	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=admi3
55	Point	ADNI3	no_flooding	Raible Avenue in Anderson	40.111111	-85.711111	White River (IN)	IN	2.55	7/8/2016 16:00	ft	8	10	15	18	 	ft	ind	NAD83/WGS84	HGIRG	0.22	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=adni3
56	Point	ADNN6	no_flooding	South Addison	42.072222	-77.299167	Tuscarora Creek	NY	0.49	7/8/2016 16:00	ft	8	9	11	13	 	ft	bgm	NAD83/WGS84	HGIRG	0	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=adnn6
57	Point	ADRM4	no_flooding	Adrian	41.904167	-83.980556	River Raisin	MI	5.08	7/8/2016 16:15	ft	13	18	19	20	 	ft	dtx	NAD83/WGS84	HGIRG	0.25	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=dtx&gage=adrm4
58	Point	ADRN7	no_flooding	Anderson Drive	35.821	-78.634	Crabtree Creek	NC	3.81	7/8/2016 16:00	ft	15	16	18	20	 	ft	rah	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=adrn7
59	Point	ADSM5	obs_not_current	Ada	47.262778	-96.500278	Wild Rice River (MN)	MN	 	N/A	ft	 	 	 	 	 	ft	fgf	NAD83/WGS84	HGIRG	 	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=fgf&gage=adsm5
60	Point	AERK1	obs_not_current	Alexander	38.464722	-99.622222	Walnut Creek (KS)	KS	 	N/A	ft	29	31	33	35	 	ft	ddc	NAD83/WGS84	HGIRG	 	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ddc&gage=aerk1
61	Point	AESI4	no_flooding	Ames US 30	42.006653	-93.595495	South Skunk River	IA	9.88	7/8/2016 15:00	ft	19	21.5	23.5	24.5	 	ft	dmx	NAD83/WGS84	HGIRG	0.14	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=aesi4
62	Point	AEXL1	no_flooding	Alexandria	31.308889	-92.439167	Red River	LA	21.26	7/8/2016 15:00	ft	28	32	36	40	 	ft	lch	NAD83/WGS84	HGIRG	43.9	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lch&gage=aexl1
63	Point	AFBI2	no_flooding	Algonquin tailwater	42.161944	-88.293889	Fox River	IL	4.84	7/8/2016 15:30	ft	9	9.5	10.5	12	 	ft	lot	NAD83/WGS84	HGIRG	0.45	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lot&gage=afbi2
64	Point	AFCS2	no_flooding	Aberdeen	45.519167	-98.577222	Foot Creek	SD	4.12	7/8/2016 15:45	ft	8	9	 	 	 	ft	abr	NAD83/WGS84	HGIRG	0	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=abr&gage=afcs2
65	Point	AFHA3	not_defined	Humboldt	34.485278	-112.2375	Agua Fria River	AZ	1.47	7/8/2016 16:00	ft	 	 	 	 	 	ft	fgz	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=fgz&gage=afha3
66	Point	AFMA3	not_defined	Mayer	34.315278	-112.063333	Agua Fria River	AZ	1.85	7/8/2016 15:30	ft	 	 	 	 	 	ft	fgz	NAD83/WGS84	HGIRG	0	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=fgz&gage=afma3
67	Point	AFRA3	no_flooding	Rock Springs	34.015556	-112.228333	Agua Fria River	AZ	2.24	7/8/2016 15:30	ft	15	16	19	24	 	ft	psr	NAD83/WGS84	HGIRG	0	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=psr&gage=afra3
68	Point	AFRI1	not_defined	American Falls	42.77889	-112.87694	Eastern Idaho Reservoirs	ID	4335.78	7/8/2016 15:45	ft	 	 	 	 	 	ft	pih	NAD83/WGS84	HPIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pih&gage=afri1
69	Point	AFRL1	not_defined	Sandy Creek at Forbes Rd near Greenwell Springs	30.621111	-90.982222	Amite River Basin	LA	49.81	7/8/2016 15:15	ft	 	 	 	 	 	ft	lix	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=afrl1
70	Point	AFRV2	no_flooding	Alexandria	38.843333	-77.085833	Four Mile Run	VA	4.17	7/8/2016 15:55	ft	6	12	15	18	 	ft	lwx	NAD83/WGS84	HGIRG	0	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=afrv2
71	Point	AFTW3	no_flooding	Afton	42.613611	-89.0715	Rock River	WI	3.09	7/8/2016 15:15	ft	8	9	11.1	12.2	 	ft	mkx	NAD83/WGS84	HGIRP	0.74	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mkx&gage=aftw3
72	Point	AGAK1	no_flooding	Augusta	37.670556	-96.98	Walnut River	KS	5.92	7/8/2016 16:00	ft	21	23	28	36	 	ft	ict	NAD83/WGS84	HGIRG	0.15	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=agak1
73	Point	AGCC1	no_flooding	Agua Caliente	38.323333	-122.493333	Sonoma Creek	CA	9.34	7/8/2016 15:45	ft	16	 	 	 	 	ft	mtr	NAD83/WGS84	HGIRG	0	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=agcc1
74	Point	AGCS2	obs_not_current	Sioux Falls	43.602222	-96.731389	Silver Creek	SD	0	6/30/2016 15:15	ft	5	6	8.5	10	 	ft	fsd	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=agcs2
75	Point	AGGC1	no_flooding	22nd Street Bridge	35.095556	-120.607222	Arroyo Grande Creek	CA	14.84	7/7/2016 20:19	ft	29	 	 	 	 	ft	lox	NAD83/WGS84	HGIRR	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lox&gage=aggc1
76	Point	AGNI4	no_flooding	Algona	43.08268	-94.230608	East Fork Des Moines River	IA	8.42	7/8/2016 15:15	ft	13	17	18	22	 	ft	dmx	NAD83/WGS84	HGIRG	0.41	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=agni4
77	Point	AGNO3	no_flooding	Agness	42.580556	-124.058333	Rogue River	OR	2.91	7/8/2016 15:30	ft	14	17	42	49	 	ft	mfr	NAD83/WGS84	HGIRG	2.16	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mfr&gage=agno3
78	Point	AGPM5	not_defined	Agassiz Pool	48.321667	-95.975556	Thief River	MN	1140.21	7/8/2016 15:15	ft	 	 	 	 	 	ft	fgf	NAD83/WGS84	HPIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=fgf&gage=agpm5
79	Point	AGRI4	no_flooding	St. Ansgar	43.355278	-92.925278	Cedar River	IA	7.33	7/8/2016 15:45	ft	11	14	 	 	 	ft	arx	NAD83/WGS84	HGIRP	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=arx&gage=agri4
80	Point	AGRM6	no_flooding	Agricola 4E	30.803333	-88.458611	Escatawpa River	MS	2.86	7/8/2016 16:00	ft	16	18	 	 	 	ft	mob	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=agrm6
81	Point	AGSI4	no_flooding	Augusta	40.753611	-91.276944	Skunk River	IA	2.32	7/8/2016 15:30	ft	14	15	17	20	 	ft	dvn	NAD83/WGS84	HGIRG	1.24	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=dvn&gage=agsi4
82	Point	AGSK1	no_flooding	Augusta	37.679722	-96.996111	Whitewater River (KS)	KS	5.15	7/8/2016 16:15	ft	19	21	25	30	 	ft	ict	NAD83/WGS84	HGIRG	0.19	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=agsk1
83	Point	AGSM8	no_flooding	Augusta	47.601667	-112.753611	Sun River	MT	4687.47	7/8/2016 16:15	ft	4724	 	 	 	 	ft	tfx	NAD83/WGS84	HPIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=agsm8
84	Point	AGYM5	not_defined	Argyle	48.340278	-96.816111	Middle River	MN	3.79	7/8/2016 16:00	ft	 	 	 	 	 	ft	fgf	NAD83/WGS84	HGIRG	0.03	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=fgf&gage=agym5
85	Point	AGYM7	no_flooding	Agency	39.688056	-94.7025	Platte River	MO	8.45	7/8/2016 15:30	ft	15	20	25	30	 	ft	eax	NAD83/WGS84	HGIRG	0.78	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=eax&gage=agym7
86	Point	AHLV2	no_flooding	Ashland	37.796667	-77.549167	South Anna River	VA	2.34	7/8/2016 15:45	ft	 	12	 	 	 	ft	akq	NAD83/WGS84	HGIRG	0.17	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=akq&gage=ahlv2
87	Point	AHOC1	obs_not_current	San Jose	37.4617	-121.7683	Arroyo Hondo	CA	 	N/A	ft	 	 	 	 	 	ft	mtr	NAD83/WGS84	HGIRG	 	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=ahoc1
88	Point	AHSN7	not_defined	Ahoskie	36.280278	-76.999444	Ahoskie Creek	NC	2.5	7/8/2016 15:30	ft	 	 	 	 	 	ft	akq	NAD83/WGS84	HGIRG	0.05	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=akq&gage=ahsn7
89	Point	AHUW1	not_defined	Union Gap	46.536111	-120.472222	Ahtanum Creek	WA	3.17	7/8/2016 15:30	ft	 	 	 	 	 	ft	pdt	NAD83/WGS84	HGIRG	0.03	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pdt&gage=ahuw1
90	Point	AIBP4	no_flooding	Aibonito	18.160278	-66.228889	Rio De La Plata	PR	10.09	7/8/2016 15:15	ft	15	20	25	30	 	ft	sju	NAD83/WGS84	HGIRG	2.84	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=sju&gage=aibp4
91	Point	AICL1	not_defined	Avoca Island Cutoff at 12SSW Morgan City	29.538611	-91.245833	Atchafalaya River	LA	3.49	7/8/2016 15:42	ft	 	 	 	 	 	ft	lix	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=aicl1
92	Point	AICN5	no_flooding	Abiquiu	36.237222	-106.4175	Rio Chama	NM	2.71	7/8/2016 15:15	ft	4.8	5.4	5.8	6.3	 	ft	abq	NAD83/WGS84	HGIRG	0.38	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=aicn5
93	Point	AICT2	no_flooding	Alice	27.772222	-98.033333	San Fernando Creek	TX	0.59	7/8/2016 15:15	ft	4	12	13	15	 	ft	crp	NAD83/WGS84	HGIRG	0	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=crp&gage=aict2
94	Point	AKDA4	no_flooding	Arkadelphia	34.121111	-93.046111	Ouachita River	AR	6.1	7/8/2016 15:00	ft	16	17	24	27	 	ft	lzk	NAD83/WGS84	HGIRG	3.02	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lzk&gage=akda4
95	Point	AKFM7	no_flooding	Akers	37.375556	-91.5525	Current River	MO	1.53	7/8/2016 16:01	ft	4	 	 	 	 	ft	sgf	NAD83/WGS84	HGIRG	0.37	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=sgf&gage=akfm7
