"GaugeLID"	"Location"	"Latitude"	"Longitude"	"Waterbody"	"State"	"Units"	"Action"	"Flood"	"Moderate"	"Major"	"URL"	"USGS"	"Action_Q"	"Flood_Q"	"Moderate_Q"	"Major_Q"
"ADAK1"	"Ada"	39.139167	-97.836667	"Salt Creek (KS)"	"KS"	"ft"	13	18	19	24	"http://water.weather.gov/ahps2/hydrograph.php?wfo=top&gage=adak1"	"06876700"	849.075157922875	1470.55291196102	1582.34272411644	NA
"ADLC1"	"Verona"	37.626667	-121.881944	"Arroyo de la Laguna"	"CA"	"ft"	15	15	17	NA	"http://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=adlc1"	"11176900"	7239.94607804639	7239.94607804639	8499.82086543161	NA
"ADLC2"	"Avondale"	38.248056	-104.398611	"Arkansas River"	"CO"	"ft"	6	7	8	9	"http://water.weather.gov/ahps2/hydrograph.php?wfo=pub&gage=adlc2"	"07109500"	4116.7646646451	5774.19091177497	7645.6967995588	9826.53681444019
"ADMI3"	"Logansport (Adamsboro)"	40.781944	-86.263889	"Eel River (IN)"	"IN"	"ft"	7	9	11	12.4	"http://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=admi3"	"03328500"	3993.24010643771	7642.55290028966	12554.6628134338	16782.126385761
"ADNI3"	"Raible Avenue in Anderson"	40.111111	-85.711111	"White River (IN)"	"IN"	"ft"	8	10	15	18	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=adni3"	"03348130"	4257.64577977788	6553.96655721878	13262.9387632583	17409.6772695756
"ADNN6"	"South Addison"	42.072222	-77.299167	"Tuscarora Creek"	"NY"	"ft"	8	9	11	13	"http://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=adnn6"	"01525981"	5464.19011142149	7065.22622281486	10996.124357119	16316.6067117572
"ADRM4"	"Adrian"	41.904167	-83.980556	"River Raisin"	"MI"	"ft"	13	18	19	20	"http://water.weather.gov/ahps2/hydrograph.php?wfo=dtx&gage=adrm4"	"04176000"	2875.20753370437	NA	NA	NA
"AESI4"	"Ames US 30"	42.006653	-93.595495	"South Skunk River"	"IA"	"ft"	19	21.5	23.5	24.5	"http://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=aesi4"	"05471000"	4760.41999507603	7473.88162460333	14280.9711979663	22758.1980107167
"AFBI2"	"Algonquin tailwater"	42.161944	-88.293889	"Fox River"	"IL"	"ft"	9	9.5	10.5	12	"http://water.weather.gov/ahps2/hydrograph.php?wfo=lot&gage=afbi2"	"05550001"	3124.53075244255	3611.06037399118	4689.15609869813	6569.82328618455
"AFCS2"	"Aberdeen"	45.519167	-98.577222	"Foot Creek"	"SD"	"ft"	8	9	NA	NA	"http://water.weather.gov/ahps2/hydrograph.php?wfo=abr&gage=afcs2"	"06471800"	329.769045490844	596.783290735978	NA	NA
"AFRA3"	"Rock Springs"	34.015556	-112.228333	"Agua Fria River"	"AZ"	"ft"	15	16	19	24	"http://water.weather.gov/ahps2/hydrograph.php?wfo=psr&gage=afra3"	"09512800"	9468.14118830509	11342.5471045611	18242.8955220101	34540.2012806561
"AFRV2"	"Alexandria"	38.843333	-77.085833	"Four Mile Run"	"VA"	"ft"	6	12	15	18	"http://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=afrv2"	"01652500"	696.991111452473	5538.0977127736	8400.24620133821	12000.2770871291
"AGCC1"	"Agua Caliente"	38.323333	-122.493333	"Sonoma Creek"	"CA"	"ft"	16	NA	NA	NA	"http://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=agcc1"	"11458500"	1865.92725798397	NA	NA	NA
"AGNI4"	"Algona"	43.08268	-94.230608	"East Fork Des Moines River"	"IA"	"ft"	13	17	18	22	"http://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=agni4"	"05478265"	1674.22985681283	6318.35418957696	7648.78751650962	NA
"AGNO3"	"Agness"	42.580556	-124.058333	"Rogue River"	"OR"	"ft"	14	17	42	49	"http://water.weather.gov/ahps2/hydrograph.php?wfo=mfr&gage=agno3"	"14372300"	32663.292031274	53635.4927909292	179079.966773484	206466.801310691
"AGRM6"	"Agricola 4E"	30.803333	-88.458611	"Escatawpa River"	"MS"	"ft"	16	18	NA	NA	"http://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=agrm6"	"02479560"	8968.16211736652	19406.8295265528	NA	NA
"AGSI4"	"Augusta"	40.753611	-91.276944	"Skunk River"	"IA"	"ft"	14	15	17	20	"http://water.weather.gov/ahps2/hydrograph.php?wfo=dvn&gage=agsi4"	"05474000"	18890.4301654865	20917.706471043	25336.43073004	33050.1285476196
"AGYM7"	"Agency"	39.688056	-94.7025	"Platte River"	"MO"	"ft"	15	20	25	30	"http://water.weather.gov/ahps2/hydrograph.php?wfo=eax&gage=agym7"	"06820500"	4340.55260325379	8822.91404056868	14128.271756558	32247.1634062456
"AHLV2"	"Ashland"	37.796667	-77.549167	"South Anna River"	"VA"	"ft"	NA	12	NA	NA	"http://water.weather.gov/ahps2/hydrograph.php?wfo=akq&gage=ahlv2"	"01672500"	NA	3670.55748040456	NA	NA
"AICN5"	"Abiquiu"	36.237222	-106.4175	"Rio Chama"	"NM"	"ft"	4.8	5.4	5.8	6.3	"http://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=aicn5"	"08287000"	1889.33107044213	NA	NA	NA
"AICT2"	"Alice"	27.772222	-98.033333	"San Fernando Creek"	"TX"	"ft"	4	12	13	15	"http://water.weather.gov/ahps2/hydrograph.php?wfo=crp&gage=aict2"	"08211900"	314.724163849465	8866.32601526201	11290.1048619901	17388.066660682
"AKFM7"	"Akers"	37.375556	-91.5525	"Current River"	"MO"	"ft"	4	NA	NA	NA	"http://water.weather.gov/ahps2/hydrograph.php?wfo=sgf&gage=akfm7"	"07064533"	5120.09765400133	NA	NA	NA
"AKRI4"	"Akron"	42.8375	-96.561667	"Big Sioux River"	"IA"	"ft"	14	16	18	20	"http://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=akri4"	"06485500"	5952.81613568497	8153.16759360387	11710.821260426	17800.2738477216
"AKWI4"	"Ackworth"	41.337216	-93.486325	"South River (South Central IA)"	"IA"	"ft"	26	29	30	32	"http://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=akwi4"	"05487470"	21179.8355920399	27697.1306407733	30074.299853118	35134.78
"ALBK1"	"Albert"	38.461667	-99.014444	"Walnut Creek (KS)"	"KS"	"ft"	22	24	25	25.7	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=albk1"	"07141900"	4162.04745204844	516.81264298565	3300.12958552488	11948.100856356
"ALBO3"	"Albany"	44.638611	-123.106978	"Willamette River"	"OR"	"ft"	21.6	25	30	32	"http://water.weather.gov/ahps2/hydrograph.php?wfo=pqr&gage=albo3"	"14174000"	68973.0467419374	85407.3309671888	124307.511663877	152881.400220591
"ALCG1"	"Lawrenceville"	33.9175	-83.888056	"Alcovy River"	"GA"	"ft"	7	9	11	16	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=alcg1"	"02208150"	428.789774130796	1148.42544230804	2601.02256924201	NA
"ALDP1"	"Aldenville"	41.674444	-75.376389	"Lackawaxen River"	"PA"	"ft"	5.5	6.5	7.5	8.5	"http://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=aldp1"	"01428750"	2842.11465954052	4300.27438457958	5936.69319271164	8305.44490367958
"ALDW2"	"Alderson"	37.724167	-80.641667	"Greenbrier River"	"WV"	"ft"	9	14	16	19	"http://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=aldw2"	"03183500"	15371.4966229717	34334.2639825748	43819.4435023889	60102.9945171328
"ALEC2"	"Almont"	38.664444	-106.8475	"East River (CO)"	"CO"	"ft"	6.3	7	8	10	"http://water.weather.gov/ahps2/hydrograph.php?wfo=gjt&gage=alec2"	"09112500"	2744.20134228188	NA	NA	NA
"ALIS1"	"YORK"	35.065	-81.138333	"Allison Creek"	"SC"	"ft"	12	14	19	22	"http://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=alis1"	"021457492"	2304.92765198914	3027.55678102517	NA	NA
"ALKH1"	"Kamuela"	20.071111	-155.670833	"Alakahi Stream"	"HI"	"ft"	NA	7	NA	8.7	"http://water.weather.gov/ahps2/hydrograph.php?wfo=hnl&gage=alkh1"	"16725000"	NA	390.920220445716	NA	633.400639877072
"ALKP1"	"Analomink"	41.084722	-75.215	"Brodhead Creek"	"PA"	"ft"	7	8	9	11	"http://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=alkp1"	"01440400"	3186.26740954203	4579.56413729591	6306.72601957521	10752.2125357107
"ALKV2"	"BOYDTON-ALLEN CREEK"	36.679444	-78.326944	"Allen Creek"	"VA"	"ft"	NA	15	NA	NA	"http://water.weather.gov/ahps2/hydrograph.php?wfo=akq&gage=alkv2"	"02079640"	NA	1600.20819654413	NA	NA
"ALLM1"	"Allagash"	47.069722	-69.079444	"Allagash River"	"ME"	"ft"	12	15	17	19	"http://water.weather.gov/ahps2/hydrograph.php?wfo=car&gage=allm1"	"01011000"	26803.6902983597	NA	NA	NA
"ALLN4"	"Allenwood"	40.146667	-74.122222	"Manasquan River"	"NJ"	"ft"	13.5	14.5	NA	NA	"http://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=alln4"	"01408029"	1012.45241758517	1431.26167433698	NA	NA
"ALLP1"	"Allentown"	40.582222	-75.483333	"Little Lehigh Creek"	"PA"	"ft"	5	6	8	10	"http://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=allp1"	"01451500"	1233.87847654161	2034.21768851893	5139.97551535131	8477.11184315818
"ALMK1"	"Alta Mills"	38.112222	-97.591944	"Little Arkansas River"	"KS"	"ft"	20	22	25	27	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=almk1"	"07143665"	4410.79088737393	5301.7589756664	7675.82102977844	22124.4328977629
"ALNP1"	"Allentown"	40.623056	-75.482778	"Jordan Creek"	"PA"	"ft"	6	8	10	11	"http://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=alnp1"	"01452000"	2901.88225126683	6307.08925369045	11170.9927468941	14289.1971223067
"ALOI4"	"Waterloo"	42.495542	-92.334352	"Cedar River"	"IA"	"ft"	8.5	13	19	21	"http://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=aloi4"	"05464000"	10330.3855542952	28837.9323184037	59915.6381463551	71784.121610787
"ALOT2"	"Alto"	31.669444	-94.956667	"Angelina River"	"TX"	"ft"	28.5	29	31	33	"http://water.weather.gov/ahps2/hydrograph.php?wfo=shv&gage=alot2"	"08036500"	7653.43778902814	10118.9476172762	25883.5894752437	40987.3867290126
"ALPI3"	"Alpine"	39.579444	-85.158056	"West Fork Whitewater River"	"IN"	"ft"	13	17	20	21.5	"http://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=alpi3"	"03275000"	6022.31752684589	12697.8688550714	22777.5433594868	30400
"ALQF1"	"Pleasant Ridge at Nelson Road"	30.668889	-86.186667	"Alaqua Creek"	"FL"	"ft"	51	54	58	61	"http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=alqf1"	"02366996"	423.427509864238	1977.59617599366	5823.83798116034	NA
"ALSV2"	"Allisonia"	36.9375	-80.745833	"New River"	"VA"	"ft"	6	8	11	14	"http://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=alsv2"	"03168000"	19385.5278267494	32008.7721040265	55378.4996910556	83007.0486598271
"ALTC2"	"Almont"	38.664444	-106.844722	"Taylor River"	"CO"	"ft"	4.2	5	6.5	8	"http://water.weather.gov/ahps2/hydrograph.php?wfo=gjt&gage=altc2"	"09110000"	1901.10122699387	NA	NA	NA
"ALTF1"	"Altha (CR 274)"	30.533889	-85.165278	"Chipola River"	"FL"	"ft"	18	22	23	30	"http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=altf1"	"02359000"	4083.21086540153	5576.79697352828	6010.68958449849	13263.7726201328
"ALTI4"	"Alton"	42.981944	-96.000833	"Floyd River"	"IA"	"ft"	10	12	16	18	"http://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=alti4"	"06600100"	734.178838402745	1305.06034113179	3601.23829278128	8623.52740112785
"ALTS1"	"Alston"	34.243056	-81.319722	"Broad River in NC/SC"	"SC"	"ft"	11.5	20	25	30	"http://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=alts1"	"02161000"	22737.9012531127	59654.9421719589	100239.184819383	NA
"ALTV2"	"Altavista"	37.104444	-79.295556	"Roanoke River"	"VA"	"ft"	16	18	24	29	"http://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=altv2"	"02060500"	15700.9874480109	18609.8777907355	28306.2205320022	49728.6578769359
"ALVK2"	"Alvaton"	36.895278	-86.380556	"Drakes Creek"	"KY"	"ft"	22	24	35	42	"http://water.weather.gov/ahps2/hydrograph.php?wfo=lmk&gage=alvk2"	"03314000"	10437.2508042504	12768.2920364484	48457.1972849184	109133.830202918
"ALXO2"	"Alex"	34.925833	-97.773611	"Washita River"	"OK"	"ft"	24	28	29	31	"http://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=alxo2"	"07328100"	30004.7243252283	42631.405424414	46227.0439906425	NA
"ALYM7"	"Alley Spring"	37.148056	-91.443056	"Jacks Fork"	"MO"	"ft"	5.3	9	12	16	"http://water.weather.gov/ahps2/hydrograph.php?wfo=sgf&gage=alym7"	"07065495"	2192.46201501671	6520.47091581559	13859.9810650328	31950.8558291177
"AMAT2"	"Amarillo"	35.470278	-101.879167	"Canadian River"	"TX"	"ft"	6	7	10	15	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ama&gage=amat2"	"07227500"	6646.90400065735	11801.2621363044	38170.2350962803	NA
"AMCK1"	"Americus"	38.466944	-96.250278	"Neosho River"	"KS"	"ft"	21	26	27	40	"http://water.weather.gov/ahps2/hydrograph.php?wfo=top&gage=amck1"	"07179730"	4669.48396579726	10543.6032813201	13420.1255495662	NA
"AMEI4"	"Ames W Riverside Rd"	42.066513	-93.620134	"South Skunk River"	"IA"	"ft"	11	12.5	16	16.5	"http://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=amei4"	"05470000"	4891.99484791898	6570.35223744547	11038.3364530911	11719.8500401883
"AMTI3"	"Amity"	39.418889	-86.005	"Youngs Creek"	"IN"	"ft"	5	7	10	14	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=amti3"	"03362000"	716.218662740083	1328.59641530419	3535.86208714095	13117.3727980456
"AMTT2"	"Aspermont 10S"	33.008056	-100.333889	"Brazos River"	"TX"	"ft"	19	21	35	37	"http://water.weather.gov/ahps2/hydrograph.php?wfo=lub&gage=amtt2"	"08080500"	8691.53456668619	11734.823583531	NA	NA
"AMWI4"	"Ames Lincoln Way"	42.022544	-93.63043	"Squaw Creek (Central IA)"	"IA"	"ft"	8	10	14	15.5	"http://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=amwi4"	"05470500"	3117.93679674872	4808.92977559314	9377.63093830212	13354.2295270323
"AMYM6"	"Amory"	33.985556	-88.551111	"Tombigbee River"	"MS"	"ft"	19	20	25	33	"http://water.weather.gov/ahps2/hydrograph.php?wfo=meg&gage=amym6"	"02437000"	15050.5031413996	17486.1392318547	35949.1312574988	121480.714358614
"ANAV2"	"Annandale"	38.812778	-77.228611	"Accotink Creek"	"VA"	"ft"	8	9.5	11	15	"http://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=anav2"	"01654000"	1046.41871265725	1778.56664977044	3370.08361931815	11054.0850996129
"ANAW1"	"Anatone"	46.097222	-116.976667	"Snake River (WA)"	"WA"	"ft"	19	20	23	24	"http://water.weather.gov/ahps2/hydrograph.php?wfo=otx&gage=anaw1"	"13334300"	139692.567998593	150003.738859142	181910.026476867	192872.631295925
"ANDI3"	"Anderson"	40.105556	-85.671111	"White River (IN)"	"IN"	"ft"	7.8	10	15	19	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=andi3"	"03348000"	2314.30442729088	4147.41506226655	9635.93863037146	15065.5067598167
"ANDM3"	"Andover"	42.671389	-71.149722	"Shawsheen River"	"MA"	"ft"	28	29	32	35	"http://water.weather.gov/ahps2/hydrograph.php?wfo=box&gage=andm3"	"01100627"	513.314446650072	914.928672737774	1479.55516595185	2527.85096076785
"ANDM8"	"Anaconda"	46.133611	-112.913333	"Warm Springs Creek"	"MT"	"ft"	4	4.4	NA	NA	"http://water.weather.gov/ahps2/hydrograph.php?wfo=mso&gage=andm8"	"12323760"	557.965076821798	715.916183395871	NA	NA
"ANDO2"	"Anadarko"	35.084167	-98.243056	"Washita River"	"OK"	"ft"	17	19	21	23	"http://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=ando2"	"07326500"	5200.9017698008	7102.37035366748	9401.92418945786	12823.965181097
"ANNM4"	"Ann Arbor"	42.2875	-83.733333	"Huron River"	"MI"	"ft"	13.5	16	17	18	"http://water.weather.gov/ahps2/hydrograph.php?wfo=dtx&gage=annm4"	"04174500"	970.705384597038	3202.05866688586	NA	NA
"ANNM7"	"Annapolis"	37.336111	-90.788611	"Black River"	"MO"	"ft"	6	8	15	25	"http://water.weather.gov/ahps2/hydrograph.php?wfo=lsx&gage=annm7"	"07061500"	2252.53292583634	4602.91096018325	22043.6820464462	84202.144982935
"ANSI4"	"Anamosa Shaw Rd"	42.083333	-91.2675	"Wapsipinicon River"	"IA"	"ft"	13	14	15.5	19	"http://water.weather.gov/ahps2/hydrograph.php?wfo=dvn&gage=ansi4"	"05421740"	6859.58072575376	8108.34450858223	10182.8447372616	15821.8413793345
"ANTI1"	"St Anthony"	43.966825	-111.672622	"Henrys Fork"	"ID"	"ft"	6.5	7	8.2	11	"http://water.weather.gov/ahps2/hydrograph.php?wfo=pih&gage=anti1"	"13050500"	7936.05451217965	9323.87031095074	12678.9121753116	NA
"ANTO2"	"Antlers"	34.248611	-95.605	"Kiamichi River"	"OK"	"ft"	24	25	29	35	"http://water.weather.gov/ahps2/hydrograph.php?wfo=tsa&gage=anto2"	"07336200"	22191.3070464867	23889.5366582972	31109.5039494645	44213.6424272335
"ANTT1"	"Antioch"	36.081667	-86.680556	"Mill Creek"	"TN"	"ft"	12	14	17	20	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ohx&gage=antt1"	"03431000"	4479.59869861761	6443.37306508094	10425.3947125329	17017.8809331177
"APAP1"	"Allentown"	40.596389	-75.474444	"Little Lehigh Creek"	"PA"	"ft"	6	8	10	12	"http://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=apap1"	"01451650"	2609.11760589449	5076.73712460536	8354.54531692295	NA
"APCC1"	"Napa"	38.367778	-122.302222	"Napa River"	"CA"	"ft"	22	25	26	28	"http://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=apcc1"	"11458000"	10283.3618846008	15603.6529847057	17957.4992361524	23427.1523442607
"APHG1"	"Alpharetta"	34.050556	-84.269444	"Big Creek"	"GA"	"ft"	6	7	11	13	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=aphg1"	"02335700"	541.204226489458	798.960525676104	3022.08428887272	6203.46731180496
"APNC2"	"Aspen"	39.18	-106.801389	"Roaring Fork River (CO)"	"CO"	"ft"	4	5	7	9	"http://water.weather.gov/ahps2/hydrograph.php?wfo=gjt&gage=apnc2"	"09073400"	1461.42907669397	1862.33190618019	NA	NA
"APRO3"	"Applegate"	42.241667	-123.142222	"Applegate River"	"OR"	"ft"	12	13	15	17	"http://water.weather.gov/ahps2/hydrograph.php?wfo=mfr&gage=apro3"	"14366000"	14741.568107021	16863.4930871813	21605.2999523314	27103.0999066359
"APSN7"	"Apex"	35.718611	-78.7525	"Swift Creek"	"NC"	"ft"	9	11	16	NA	"http://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=apsn7"	"02087580"	964.806925260258	2101.76741183003	NA	NA
"AQLT2"	"Aquilla"	31.812222	-97.2975	"Brazos River"	"TX"	"ft"	27	29	32	35	"http://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=aqlt2"	"08093100"	41710.2972055405	NA	NA	NA
"AQPI3"	"Angola"	41.634444	-85.109722	"Pigeon Creek"	"IN"	"ft"	10	11	12	13	"http://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=aqpi3"	"04099510"	522.09712910181	700.882448164863	NA	NA
"ARCC1"	"Arcata"	40.909722	-124.059722	"Mad River"	"CA"	"ft"	15	22	24	28	"http://water.weather.gov/ahps2/hydrograph.php?wfo=eka&gage=arcc1"	"11481000"	16258.1180341139	36116.5330454359	43200.6216582786	60381.1363200334
"ARCF1"	"Arcadia"	27.221944	-81.876111	"Peace River (FL)"	"FL"	"ft"	9	11	14	16	"http://water.weather.gov/ahps2/hydrograph.php?wfo=tbw&gage=arcf1"	"02296750"	2686.18093569529	3881.82307664477	7233.85771779113	11737.1364277276
"ARCG1"	"Armuchee"	34.360833	-85.140278	"Armuchee Creek"	"GA"	"ft"	16	19	25	32	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=arcg1"	"02388350"	5501.81817177569	7477.2484905034	12531.8760945336	20000
